name,site,severity,type,point,datum_projection,easting,northing,comments
MIXMOR-J10,MIXMOR,mod,Mammal Grid,J10,"WGS84, UTM 10S",723751,4318835,
MIXMOR-CT1,MIXMOR,mod,Camera Trap,CT1,"WGS84, UTM 10S",723706,4318614,
MIXMOR-CT2,MIXMOR,mod,Camera Trap,CT2,"WGS84, UTM 10S",723651,4318729,
MIXMOR-BC1,MIXMOR,mod,Bird Count,BC1,"WGS84, UTM 10S",723601,4318817,
MIXMOR-BC2,MIXMOR,mod,Bird Count,BC2,"WGS84, UTM 10S",723818,4318707,
MIXMIX-NW,MIXMIX,mod,Plot Corner,NW,"WGS84, UTM 10S",722180,4318996,
MIXMIX-NE,MIXMIX,mod,Plot Corner,NE,"WGS84, UTM 10S",722400,4318988,
MIXMIX-SW,MIXMIX,mod,Plot Corner,SW,"WGS84, UTM 10S",722181,4318786,
MIXMIX-SE,MIXMIX,mod,Plot Corner,SE,"WGS84, UTM 10S",722389,4318789,
MIXMIX-BAT,MIXMIX,mod,Bat pole,BAT,"WGS84, UTM 10S",722204,4318794,
MIXMIX-A1,MIXMIX,mod,Mammal Grid,A1,"WGS84, UTM 10S",722332,4318889,
MIXMIX-A10,MIXMIX,mod,Mammal Grid,A10,"WGS84, UTM 10S",722331,4318974,
MIXMIX-J1,MIXMIX,mod,Mammal Grid,J1,"WGS84, UTM 10S",722243,4318886,
MIXMIX-J10,MIXMIX,mod,Mammal Grid,J10,"WGS84, UTM 10S",722236,4318969,
MIXMIX-CT1,MIXMIX,mod,Camera Trap,CT1,"WGS84, UTM 10S",722228,4318924,
MIXMIX-CT2,MIXMIX,mod,Camera Trap,CT2,"WGS84, UTM 10S",722338,4318784,
MIXMIX-BC1,MIXMIX,mod,Bird Count,BC1,"WGS84, UTM 10S",722371,4318796,
MIXMIX-BC2,MIXMIX,mod,Bird Count,BC2,"WGS84, UTM 10S",722185,4318995,
HITEDD-N,HITEDD,high,Plot Corner,N,"WGS84, UTM 10S",715608,4316215,
HITEDD-E,HITEDD,high,Plot Corner,E,"WGS84, UTM 10S",715796,4316124,
HITEDD-S,HITEDD,high,Plot Corner,S,"WGS84, UTM 10S",715704,4315941,
HITEDD-W,HITEDD,high,Plot Corner,W,"WGS84, UTM 10S",715514,4316010,
HITEDD-BAT,HITEDD,high,Bat pole,BAT,"WGS84, UTM 10S",715603,4316097,
HITEDD-A1,HITEDD,high,Mammal Grid,A1,"WGS84, UTM 10S",715576,4316115,
HITEDD-A10,HITEDD,high,Mammal Grid,A10,"WGS84, UTM 10S",715576,4316030,
HITEDD-J1,HITEDD,high,Mammal Grid,J1,"WGS84, UTM 10S",715668,4316118,
HITEDD-J10,HITEDD,high,Mammal Grid,J10,"WGS84, UTM 10S",715670,4316028,
HITEDD-CT1,HITEDD,high,Camera Trap,CT1,"WGS84, UTM 10S",715763,4316053,
HITEDD-CT2,HITEDD,high,Camera Trap,CT2,"WGS84, UTM 10S",715632,4316194,
HITEDD-BC1,HITEDD,high,Bird Count,BC1,"WGS84, UTM 10S",715611,4316217,
HITEDD-BC2,HITEDD,high,Bird Count,BC2,"WGS84, UTM 10S",715511,4316011,
HIDODD-N,HIDODD,high,Plot Corner,N,"WGS84, UTM 10S",714961,4317471,
HIDODD-E,HIDODD,high,Plot Corner,E,"WGS84, UTM 10S",715128,4317357,
HIDODD-S,HIDODD,high,Plot Corner,S,"WGS84, UTM 10S",714989,4317195,
HIDODD-W,HIDODD,high,Plot Corner,W,"WGS84, UTM 10S",714833,4317315,
HIDODD-BAT,HIDODD,high,Bat pole,BAT,"WGS84, UTM 10S",714863,4317303,
HIDODD-A1,HIDODD,high,Mammal Grid,A1,"WGS84, UTM 10S",714937,4317387,
HIDODD-A10,HIDODD,high,Mammal Grid,A10,"WGS84, UTM 10S",714941,4317293,
HIDODD-J1,HIDODD,high,Mammal Grid,J1,"WGS84, UTM 10S",715032,4317398,
HIDODD-J10,HIDODD,high,Mammal Grid,J10,"WGS84, UTM 10S",715034,4317306,
HIDODD-CT1,HIDODD,high,Camera Trap,CT1,"WGS84, UTM 10S",714930,4317214,
HIDODD-CT2,HIDODD,high,Camera Trap,CT2,"WGS84, UTM 10S",714905,4317281,
HIDODD-BC1,HIDODD,high,Bird Count,BC1,"WGS84, UTM 10S",714956,4317470,
HIDODD-BC2,HIDODD,high,Bird Count,BC2,"WGS84, UTM 10S",714989,4317195,
HICORN-NE,HICORN,high,Plot Corner,NE,"WGS84, UTM 10S",717263,4319174,
HICORN-NW,HICORN,high,Plot Corner,NW,"WGS84, UTM 10S",717069,4319044,
HICORN-SE,HICORN,high,Plot Corner,SE,"WGS84, UTM 10S",717316,4319000,
HICORN-SW,HICORN,high,Plot Corner,SW,"WGS84, UTM 10S",717157,4318889,
HICORN-BAT,HICORN,high,Bat pole,BAT,"WGS84, UTM 10S",717275,4319121,
HICORN-A1,HICORN,high,Mammal Grid,A1,"WGS84, UTM 10S",717241,4318973,
HICORN-A10,HICORN,high,Mammal Grid,A10,"WGS84, UTM 10S",717238,4319066,
HICORN-J1,HICORN,high,Mammal Grid,J1,"WGS84, UTM 10S",717151,4318973,
HICORN-J10,HICORN,high,Mammal Grid,J10,"WGS84, UTM 10S",717147,4319064,
HICORN-CT1,HICORN,high,Camera Trap,CT1,"WGS84, UTM 10S",717106,4318943,
HICORN-CT2,HICORN,high,Camera Trap,CT2,"WGS84, UTM 10S",717100,4319045,
HICORN-BC1,HICORN,high,Bird Count,BC1,"WGS84, UTM 10S",717061,4319045,
HICORN-BC2,HICORN,high,Bird Count,BC2,"WGS84, UTM 10S",717316,4319000,
