site,effort
GRNCAR,299
GRNDAM,297
GRNHOU,296.5
GRNKAN,296
GRNMAS,291.5
GRNQUA,294.5
GRNSNO,294.5
GRNTUR,280.5
GRNWOO,285
HIBADR,293
HICAMP,254
HICORN,295.5
HICOWS,289.5
HIDODD,289.5
HISHRU,285.5
HISQUE,279
HITEDD,295
HIWALK,289.5
MIXBUS,284.5
MIXBUT,287.5
MIXDP2,295
MIXMID,297.5
MIXMIX,292.5
MIXMOR,290
MIXRAV,282.5
MIXRIV,289
MIXWAT,286.5
